package_pin,side,slot,function,direction,cell,rtl_signal,instance
P1,south,1,IOVDD,power,PVDD2,IOVDD,u_base.u_iovdd_pads[0].u_cell.u_pad
P2,south,2,mgmt_clk,input,PB4,mgmt_clk_i,u_base.u_mgmt_clk_pad.u_pad
P3,south,3,GPIO,inout,PB4,gpio[0],u_base.u_gpio_pads[0].u_cell.u_pad
P4,south,4,GPIO,inout,PB4,gpio[1],u_base.u_gpio_pads[1].u_cell.u_pad
P5,south,5,IOVSS,ground,PVSS2,IOVSS,u_base.u_iovss_pads[0].u_cell.u_pad
P6,south,6,GPIO,inout,PB4,gpio[2],u_base.u_gpio_pads[2].u_cell.u_pad
P7,south,7,mgmt_rst_n,input,PB4,mgmt_rst_n_i,u_base.u_mgmt_rst_n_pad.u_pad
P8,south,8,GPIO,inout,PB4,gpio[3],u_base.u_gpio_pads[3].u_cell.u_pad
P9,east,1,VDD,power,PVDD1,VDD,u_base.u_vdd_pads[0].u_cell.u_pad
P10,east,2,jtag_tck,input,PB4,jtag_tck_i,u_base.u_jtag_tck_pad.u_pad
P11,east,3,PLL_AVSS,ground,PVSS1CAP,pll_avss,u_pll_avss_pad.u_pad
P12,east,4,PLL_AVDD,power,PVDD1CAP,pll_avdd,u_pll_avdd_pad.u_pad
P13,east,5,VSS,ground,PVSS1,VSS,u_base.u_vss_pads[0].u_cell.u_pad
P14,east,6,GPIO,inout,PB4,gpio[4],u_base.u_gpio_pads[4].u_cell.u_pad
P15,east,7,jtag_tms,input,PB4,jtag_tms_i,u_base.u_jtag_tms_pad.u_pad
P16,east,8,GPIO,inout,PB4,gpio[5],u_base.u_gpio_pads[5].u_cell.u_pad
P17,north,1,IOVDD,power,PVDD2,IOVDD,u_base.u_iovdd_pads[1].u_cell.u_pad
P18,north,2,jtag_tdi,input,PB4,jtag_tdi_i,u_base.u_jtag_tdi_pad.u_pad
P19,north,3,XIN,inout,PXWE1,pll_xin_pad,u_pll_osc_pad.u_pad
P20,north,4,XOUT,inout,PXWE1,pll_xout_pad,u_pll_osc_pad.u_pad
P21,north,5,IOVSS,ground,PVSS2,IOVSS,u_base.u_iovss_pads[1].u_cell.u_pad
P22,north,6,AVSSIO,ground,PVSS3AP,pll_avssio,u_pll_avssio_pad.u_pad
P23,north,7,jtag_tdo,output,PB4,jtag_tdo_o,u_base.u_jtag_tdo_pad.u_pad
P24,north,8,AVDDIO,power,PVDD3AP,pll_avddio,u_pll_avddio_pad.u_pad
P25,west,1,VDD,power,PVDD1,VDD,u_base.u_vdd_pads[1].u_cell.u_pad
P26,west,2,uart_rx,input,PB4,uart_rx_i,u_base.u_uart_rx_pad.u_pad
P27,west,3,GPIO,inout,PB4,gpio[6],u_base.u_gpio_pads[6].u_cell.u_pad
P28,west,4,GPIO,inout,PB4,gpio[7],u_base.u_gpio_pads[7].u_cell.u_pad
P29,west,5,VSS,ground,PVSS1,VSS,u_base.u_vss_pads[1].u_cell.u_pad
P30,west,6,GPIO,inout,PB4,gpio[8],u_base.u_gpio_pads[8].u_cell.u_pad
P31,west,7,uart_tx,output,PB4,uart_tx_o,u_base.u_uart_tx_pad.u_pad
P32,west,8,GPIO,inout,PB4,gpio[9],u_base.u_gpio_pads[9].u_cell.u_pad
