package_pin,side,slot,function,direction,cell,rtl_signal,instance
P82,north,18,GPIO,inout,PB4,gpio[55],u_base.u_gpio_pads[55].u_cell.u_pad
P83,north,19,GPIO,inout,PB4,gpio[56],u_base.u_gpio_pads[56].u_cell.u_pad
P84,north,20,GPIO,inout,PB4,gpio[57],u_base.u_gpio_pads[57].u_cell.u_pad
P85,north,21,IOVSS,ground,PVSS2,IOVSS,u_base.u_iovss_pads[5].u_cell.u_pad
P86,north,22,GPIO,inout,PB4,gpio[58],u_base.u_gpio_pads[58].u_cell.u_pad
P87,north,23,GPIO,inout,PB4,gpio[59],u_base.u_gpio_pads[59].u_cell.u_pad
P88,north,24,GPIO,inout,PB4,gpio[60],u_base.u_gpio_pads[60].u_cell.u_pad
P89,north,25,VDD,power,PVDD1,VDD,u_base.u_vdd_pads[5].u_cell.u_pad
P90,north,26,GPIO,inout,PB4,gpio[61],u_base.u_gpio_pads[61].u_cell.u_pad
P91,north,27,GPIO,inout,PB4,gpio[62],u_base.u_gpio_pads[62].u_cell.u_pad
P92,north,28,GPIO,inout,PB4,gpio[63],u_base.u_gpio_pads[63].u_cell.u_pad
P93,north,29,VSS,ground,PVSS1,VSS,u_base.u_vss_pads[5].u_cell.u_pad
P94,north,30,GPIO,inout,PB4,gpio[64],u_base.u_gpio_pads[64].u_cell.u_pad
P95,north,31,jtag_tdo,output,PB4,jtag_tdo_o,u_base.u_jtag_tdo_pad.u_pad
P96,north,32,GPIO,inout,PB4,gpio[65],u_base.u_gpio_pads[65].u_cell.u_pad
P97,west,1,IOVDD,power,PVDD2,IOVDD,u_base.u_iovdd_pads[6].u_cell.u_pad
P98,west,2,uart_rx,input,PB4,uart_rx_i,u_base.u_uart_rx_pad.u_pad
P99,west,3,GPIO,inout,PB4,gpio[66],u_base.u_gpio_pads[66].u_cell.u_pad
P100,west,4,GPIO,inout,PB4,gpio[67],u_base.u_gpio_pads[67].u_cell.u_pad
P101,west,5,IOVSS,ground,PVSS2,IOVSS,u_base.u_iovss_pads[6].u_cell.u_pad
P102,west,6,GPIO,inout,PB4,gpio[68],u_base.u_gpio_pads[68].u_cell.u_pad
P103,west,7,GPIO,inout,PB4,gpio[69],u_base.u_gpio_pads[69].u_cell.u_pad
P104,west,8,GPIO,inout,PB4,gpio[70],u_base.u_gpio_pads[70].u_cell.u_pad
P105,west,9,VDD,power,PVDD1,VDD,u_base.u_vdd_pads[6].u_cell.u_pad
P106,west,10,GPIO,inout,PB4,gpio[71],u_base.u_gpio_pads[71].u_cell.u_pad
P107,west,11,GPIO,inout,PB4,gpio[72],u_base.u_gpio_pads[72].u_cell.u_pad
P108,west,12,GPIO,inout,PB4,gpio[73],u_base.u_gpio_pads[73].u_cell.u_pad
P109,west,13,VSS,ground,PVSS1,VSS,u_base.u_vss_pads[6].u_cell.u_pad
P110,west,14,GPIO,inout,PB4,gpio[74],u_base.u_gpio_pads[74].u_cell.u_pad
P111,west,15,GPIO,inout,PB4,gpio[75],u_base.u_gpio_pads[75].u_cell.u_pad
P112,west,16,GPIO,inout,PB4,gpio[76],u_base.u_gpio_pads[76].u_cell.u_pad
P113,west,17,IOVDD,power,PVDD2,IOVDD,u_base.u_iovdd_pads[7].u_cell.u_pad
P114,west,18,GPIO,inout,PB4,gpio[77],u_base.u_gpio_pads[77].u_cell.u_pad
P115,west,19,GPIO,inout,PB4,gpio[78],u_base.u_gpio_pads[78].u_cell.u_pad
P116,west,20,GPIO,inout,PB4,gpio[79],u_base.u_gpio_pads[79].u_cell.u_pad
P117,west,21,IOVSS,ground,PVSS2,IOVSS,u_base.u_iovss_pads[7].u_cell.u_pad
P118,west,22,GPIO,inout,PB4,gpio[80],u_base.u_gpio_pads[80].u_cell.u_pad
P119,west,23,GPIO,inout,PB4,gpio[81],u_base.u_gpio_pads[81].u_cell.u_pad
P120,west,24,GPIO,inout,PB4,gpio[82],u_base.u_gpio_pads[82].u_cell.u_pad
P121,west,25,VDD,power,PVDD1,VDD,u_base.u_vdd_pads[7].u_cell.u_pad
P122,west,26,GPIO,inout,PB4,gpio[83],u_base.u_gpio_pads[83].u_cell.u_pad
P123,west,27,GPIO,inout,PB4,gpio[84],u_base.u_gpio_pads[84].u_cell.u_pad
P124,west,28,GPIO,inout,PB4,gpio[85],u_base.u_gpio_pads[85].u_cell.u_pad
P125,west,29,VSS,ground,PVSS1,VSS,u_base.u_vss_pads[7].u_cell.u_pad
P126,west,30,GPIO,inout,PB4,gpio[86],u_base.u_gpio_pads[86].u_cell.u_pad
P127,west,31,uart_tx,output,PB4,uart_tx_o,u_base.u_uart_tx_pad.u_pad
P128,west,32,GPIO,inout,PB4,gpio[87],u_base.u_gpio_pads[87].u_cell.u_pad
