package_pin,side,slot,function,direction,cell,rtl_signal,instance
P1,south,1,IOVDD,power,P65_1233_VDDIO3,IOVDD,u_iovdd_pads[0].u_pad
P2,south,2,mgmt_clk,input,P65_1233_PBMUX,mgmt_clk_i,u_mgmt_clk_pad
P3,south,3,GPIO,inout,P65_1233_PBMUX,gpio[0],u_gpio_pads[0].u_pad
P4,south,4,GPIO,inout,P65_1233_PBMUX,gpio[1],u_gpio_pads[1].u_pad
P5,south,5,IOVSS,ground,P65_1233_VSSIO3,IOVSS,u_iovss_pads[0].u_pad
P6,south,6,GPIO,inout,P65_1233_PBMUX,gpio[2],u_gpio_pads[2].u_pad
P7,south,7,mgmt_rst_n,input,P65_1233_PBMUX,mgmt_rst_n_i,u_mgmt_rst_n_pad
P8,south,8,GPIO,inout,P65_1233_PBMUX,gpio[3],u_gpio_pads[3].u_pad
P9,east,1,VDD,power,P65_1233_VDD3,VDD,u_vdd_pads[0].u_pad
P10,east,2,jtag_tck,input,P65_1233_PBMUX,jtag_tck_i,u_jtag_tck_pad
P11,east,3,GPIO,inout,P65_1233_PBMUX,gpio[4],u_gpio_pads[4].u_pad
P12,east,4,GPIO,inout,P65_1233_PBMUX,gpio[5],u_gpio_pads[5].u_pad
P13,east,5,VSS,ground,P65_1233_VSS3,VSS,u_vss_pads[0].u_pad
P14,east,6,GPIO,inout,P65_1233_PBMUX,gpio[6],u_gpio_pads[6].u_pad
P15,east,7,jtag_tms,input,P65_1233_PBMUX,jtag_tms_i,u_jtag_tms_pad
P16,east,8,GPIO,inout,P65_1233_PBMUX,gpio[7],u_gpio_pads[7].u_pad
P17,north,1,IOVDD,power,P65_1233_VDDIO3,IOVDD,u_iovdd_pads[1].u_pad
P18,north,2,jtag_tdi,input,P65_1233_PBMUX,jtag_tdi_i,u_jtag_tdi_pad
P19,north,3,GPIO,inout,P65_1233_PBMUX,gpio[8],u_gpio_pads[8].u_pad
P20,north,4,GPIO,inout,P65_1233_PBMUX,gpio[9],u_gpio_pads[9].u_pad
P21,north,5,IOVSS,ground,P65_1233_VSSIO3,IOVSS,u_iovss_pads[1].u_pad
P22,north,6,GPIO,inout,P65_1233_PBMUX,gpio[10],u_gpio_pads[10].u_pad
P23,north,7,jtag_tdo,output,P65_1233_PBMUX,jtag_tdo_o,u_jtag_tdo_pad
P24,north,8,GPIO,inout,P65_1233_PBMUX,gpio[11],u_gpio_pads[11].u_pad
P25,west,1,VDD,power,P65_1233_VDD3,VDD,u_vdd_pads[1].u_pad
P26,west,2,uart_rx,input,P65_1233_PBMUX,uart_rx_i,u_uart_rx_pad
P27,west,3,GPIO,inout,P65_1233_PBMUX,gpio[12],u_gpio_pads[12].u_pad
P28,west,4,GPIO,inout,P65_1233_PBMUX,gpio[13],u_gpio_pads[13].u_pad
P29,west,5,VSS,ground,P65_1233_VSS3,VSS,u_vss_pads[1].u_pad
P30,west,6,GPIO,inout,P65_1233_PBMUX,gpio[14],u_gpio_pads[14].u_pad
P31,west,7,uart_tx,output,P65_1233_PBMUX,uart_tx_o,u_uart_tx_pad
P32,west,8,GPIO,inout,P65_1233_PBMUX,gpio[15],u_gpio_pads[15].u_pad
